Measurement ID;3623
Battery name;NCR18650PF_SN002
Battery Name;NCR
Circuit;Circ006
Program;458 - Pan_5pulse_EIS_0dC
Start Time;5/22/2017 8:47:26 AM
End Time;5/30/2017 7:42:20 AM
Test section;EIS00010
Comment;0degC EIS vs SOC
OrderNo;
Producer; Panasonic
Type; NCR
Nominal Voltage; 3.7
Nominal Current; 0
Nominal Capacity; 2.9
Cells; 1
Maximum Voltage; 4.25
Gassing Voltage; 4.3
Break Voltage; 0
Charge Factor; 0
Impedance; 0
Cold Cranking Current; 15
Energy Density; 0
Comment;
Time Stamp;Step;Status;Prog Time;Step Time;Cycle;Cycle Level;Procedure;Voltage;Current;AhAccu;Energy;StartFreq;EndFreq;SetFreq;AAcMax;VAcMin;VAcMax;mvIdeal;Go;Status;U1;Zreal1;Zimg1;ActFreq;EisError;AACStart;MinIntervalTime;CountOfPeriods;UIdeal;AStart;MinDuration;MinPeriods;RemTime;VRelativ;AAmplitude;Betrag;Phase;ChamberT;ChamberSP;Temp45;
5/24/2017 8:55:17 AM;58;EIS;37:51:23.702;00:05:54.801;3;1;Pan_5pulse_EIS_0dC;3.37138;0.00000;-2.32002;;0.00100;6000.00000;1.42282;2.00000;-2.00000;20.00000;10.00000;30.00000;16.00000;3.37046;55.64437;-22.79512;1.42045;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.05871;0.17606;60.13246;-22.27682;0.00000;0.00000;1.95023;
5/24/2017 8:55:29 AM;58;EIS;37:51:35.686;00:06:06.785;3;1;Pan_5pulse_EIS_0dC;3.37138;0.00000;-2.32002;;0.00100;6000.00000;1.06697;2.00000;-2.00000;20.00000;10.00000;31.00000;16.00000;3.36377;58.38586;-27.32363;1.06838;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.07197;0.16629;64.46309;-25.07883;0.00000;0.00000;2.15198;
5/24/2017 8:55:41 AM;58;EIS;37:51:47.705;00:06:18.804;3;1;Pan_5pulse_EIS_0dC;3.37138;0.00000;-2.32002;;0.00100;6000.00000;0.80011;2.00000;-2.00000;20.00000;10.00000;32.00000;16.00000;3.37301;61.83571;-33.03674;0.79957;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.08724;0.15508;70.10764;-28.11409;0.00000;0.00000;2.15198;
5/24/2017 8:55:53 AM;58;EIS;37:51:59.266;00:06:30.365;3;1;Pan_5pulse_EIS_0dC;3.37073;0.00000;-2.32002;;0.00100;6000.00000;0.60000;2.00000;-2.00000;20.00000;10.00000;33.00000;16.00000;3.36708;66.24741;-39.87193;0.59904;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.10276;0.14262;77.32070;-31.04222;0.00000;0.00000;2.15198;
5/24/2017 8:56:04 AM;58;EIS;37:52:10.029;00:06:41.128;3;1;Pan_5pulse_EIS_0dC;3.37073;0.00000;-2.32002;;0.00100;6000.00000;0.44994;2.00000;-2.00000;20.00000;10.00000;34.00000;16.00000;3.36327;71.97020;-47.83286;0.44964;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.11797;0.12937;86.41581;-33.60882;0.00000;0.00000;1.93902;
5/24/2017 8:56:14 AM;58;EIS;37:52:20.408;00:06:51.507;3;1;Pan_5pulse_EIS_0dC;3.37009;0.00000;-2.32002;;0.00100;6000.00000;0.33740;2.00000;-2.00000;20.00000;10.00000;35.00000;16.00000;3.36364;79.18411;-56.69440;0.33723;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.12683;0.11571;97.38777;-35.60199;0.00000;0.00000;2.15198;
5/24/2017 8:56:28 AM;58;EIS;37:52:34.195;00:07:05.294;3;1;Pan_5pulse_EIS_0dC;3.37073;0.00000;-2.32002;;0.00100;6000.00000;0.25302;2.00000;-2.00000;20.00000;10.00000;36.00000;16.00000;3.36366;90.43199;-66.01086;0.25270;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.12683;0.10270;111.96150;-36.12759;0.00000;0.00000;2.15198;
5/24/2017 8:56:46 AM;58;EIS;37:52:52.163;00:07:23.262;3;1;Pan_5pulse_EIS_0dC;3.37073;0.00000;-2.32002;;0.00100;6000.00000;0.18974;2.00000;-2.00000;20.00000;10.00000;37.00000;16.00000;3.36500;104.05401;-74.78932;0.18978;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.14439;0.08931;128.14320;-35.70687;0.00000;0.00000;2.14077;
5/24/2017 8:57:08 AM;58;EIS;37:53:14.856;00:07:45.955;3;1;Pan_5pulse_EIS_0dC;3.37009;0.00000;-2.32002;;0.00100;6000.00000;0.14228;2.00000;-2.00000;20.00000;10.00000;38.00000;16.00000;3.36605;120.58216;-82.19614;0.14248;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.13924;0.07807;145.93239;-34.28072;0.00000;0.00000;2.15198;
5/24/2017 8:57:39 AM;58;EIS;37:53:44.925;00:08:16.024;3;1;Pan_5pulse_EIS_0dC;3.37009;0.00000;-2.32002;;0.00100;6000.00000;0.10670;2.00000;-2.00000;20.00000;10.00000;39.00000;16.00000;3.36817;140.95151;-87.14963;0.10678;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.13924;0.06849;165.71780;-31.72830;0.00000;0.00000;1.95023;
5/24/2017 8:58:18 AM;58;EIS;37:54:24.084;00:08:55.183;3;1;Pan_5pulse_EIS_0dC;3.37009;0.00000;-2.32002;;0.00100;6000.00000;0.08001;2.00000;-2.00000;20.00000;10.00000;40.00000;16.00000;3.36886;160.92236;-89.09113;0.07999;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.11009;0.06035;183.93813;-28.97014;0.00000;0.00000;2.15198;
5/24/2017 8:59:10 AM;58;EIS;37:55:16.118;00:09:47.217;3;1;Pan_5pulse_EIS_0dC;3.37073;0.00000;-2.32002;;0.00100;6000.00000;0.06000;2.00000;-2.00000;20.00000;10.00000;41.00000;16.00000;3.37194;182.39194;-88.04937;0.05994;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.10145;0.05438;202.53274;-25.76884;0.00000;0.00000;2.16318;
5/24/2017 9:00:18 AM;58;EIS;37:56:24.145;00:10:55.244;3;1;Pan_5pulse_EIS_0dC;3.37009;0.00000;-2.32002;;0.00100;6000.00000;0.04499;2.00000;-2.00000;20.00000;10.00000;42.00000;16.00000;3.37025;200.95517;-84.93982;0.04507;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.07626;0.04933;218.16909;-22.91283;0.00000;0.00000;1.93902;
5/24/2017 9:01:48 AM;58;EIS;37:57:54.781;00:12:25.880;3;1;Pan_5pulse_EIS_0dC;3.37073;0.00000;-2.32002;;0.00100;6000.00000;0.03374;2.00000;-2.00000;20.00000;10.00000;43.00000;16.00000;3.37091;219.30990;-80.15119;0.03377;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.07036;0.04584;233.49742;-20.07584;0.00000;0.00000;2.15198;
5/24/2017 9:03:49 AM;58;EIS;37:59:55.445;00:14:26.544;3;1;Pan_5pulse_EIS_0dC;3.37138;0.00000;-2.32002;;0.00100;6000.00000;0.02530;2.00000;-2.00000;20.00000;10.00000;44.00000;16.00000;3.37312;233.97176;-75.18703;0.02531;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.05332;0.04286;245.75572;-17.81486;0.00000;0.00000;2.16318;
5/24/2017 9:06:29 AM;58;EIS;38:02:35.446;00:17:06.545;3;1;Pan_5pulse_EIS_0dC;3.37202;0.00000;-2.32002;;0.00100;6000.00000;0.01897;2.00000;-2.00000;20.00000;10.00000;45.00000;16.00000;3.37327;246.38067;-70.67981;0.01896;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04207;0.04066;256.31830;-16.00672;0.00000;0.00000;2.15198;
5/24/2017 9:10:02 AM;58;EIS;38:06:08.458;00:20:39.557;3;1;Pan_5pulse_EIS_0dC;3.37266;0.00000;-2.32002;;0.00100;6000.00000;0.01423;2.00000;-2.00000;20.00000;10.00000;46.00000;16.00000;3.37303;258.31065;-67.01887;0.01422;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04126;0.03902;266.86311;-14.54473;0.00000;0.00000;2.14077;
5/24/2017 9:14:46 AM;58;EIS;38:10:52.007;00:25:23.106;3;1;Pan_5pulse_EIS_0dC;3.37266;0.00000;-2.32002;;0.00100;6000.00000;0.01067;2.00000;-2.00000;20.00000;10.00000;47.00000;16.00000;3.37366;268.06009;-64.63370;0.01065;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03344;0.03748;275.74214;-13.55620;0.00000;0.00000;2.15198;
5/24/2017 9:21:02 AM;58;EIS;38:17:08.863;00:31:39.962;3;1;Pan_5pulse_EIS_0dC;3.37331;0.00000;-2.32002;;0.00100;6000.00000;0.00800;2.00000;-2.00000;20.00000;10.00000;48.00000;16.00000;3.37480;277.62681;-64.11683;0.00800;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03360;0.03627;284.93440;-13.00424;0.00000;0.00000;1.95023;
5/24/2017 9:29:25 AM;58;EIS;38:25:30.987;00:40:02.086;3;1;Pan_5pulse_EIS_0dC;3.37395;0.00000;-2.32002;;0.00100;6000.00000;0.00600;2.00000;-2.00000;20.00000;10.00000;49.00000;16.00000;3.37508;287.02110;-65.02678;0.00600;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03234;0.03508;294.29508;-12.76529;0.00000;0.00000;1.93902;
5/24/2017 9:40:34 AM;58;EIS;38:36:40.845;00:51:11.944;3;1;Pan_5pulse_EIS_0dC;3.37459;0.00000;-2.32002;;0.00100;6000.00000;0.00450;2.00000;-2.00000;20.00000;10.00000;50.00000;16.00000;3.37593;295.26597;-67.68399;0.00449;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02959;0.03399;302.92428;-12.91089;0.00000;0.00000;1.93902;
5/24/2017 9:55:26 AM;58;EIS;38:51:32.288;01:06:03.387;3;1;Pan_5pulse_EIS_0dC;3.37524;0.00000;-2.32002;;0.00100;6000.00000;0.00337;2.00000;-2.00000;20.00000;10.00000;51.00000;16.00000;3.37664;304.55521;-71.61732;0.00338;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03241;0.03300;312.86245;-13.23290;0.00000;0.00000;1.95023;
5/24/2017 10:15:12 AM;58;EIS;39:11:18.775;01:25:49.874;3;1;Pan_5pulse_EIS_0dC;3.37588;0.00000;-2.32002;;0.00100;6000.00000;0.00253;2.00000;-2.00000;20.00000;10.00000;52.00000;16.00000;3.37724;314.46779;-76.82829;0.00253;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03458;0.03196;323.71681;-13.72911;0.00000;0.00000;2.15198;
5/24/2017 10:41:37 AM;58;EIS;39:37:42.943;01:52:14.042;3;1;Pan_5pulse_EIS_0dC;3.37652;0.00000;-2.32002;;0.00100;6000.00000;0.00190;2.00000;-2.00000;20.00000;10.00000;53.00000;16.00000;3.37788;324.86764;-83.69172;0.00190;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03709;0.03091;335.47471;-14.44630;0.00000;0.00000;2.14077;
5/24/2017 11:16:46 AM;58;EIS;40:12:52.363;02:27:23.462;3;1;Pan_5pulse_EIS_0dC;3.37717;0.00000;-2.32002;;0.00100;6000.00000;0.00142;2.00000;-2.00000;20.00000;10.00000;54.00000;16.00000;3.37862;335.90859;-92.48608;0.00142;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03844;0.02981;348.40818;-15.39389;0.00000;0.00000;2.15198;
5/24/2017 11:47:07 AM;58;EIS;40:43:13.081;02:57:44.180;3;1;Pan_5pulse_EIS_0dC;3.37395;0.00000;-2.32002;;0.00100;6000.00000;0.00107;2.00000;-2.00000;20.00000;10.00000;0.00000;12.00000;3.37565;335.90859;-92.48608;0.00142;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03844;0.02981;348.40818;-15.39389;0.00000;0.00000;1.93902;
5/26/2017 10:13:23 AM;58;EIS;40:43:13.085;02:57:44.184;3;1;Pan_5pulse_EIS_0dC;3.37717;0.00000;-2.32002;;0.00100;6000.00000;0.00107;2.00000;-2.00000;20.00000;10.00000;0.00000;0.00000;3.37891;335.90859;-92.48608;0.00142;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03844;0.02981;348.40818;-15.39389;0.00000;0.00000;2.16318;
5/26/2017 10:16:57 AM;58;EIS;40:43:13.085;02:57:44.184;3;1;Pan_5pulse_EIS_0dC;3.38811;0.00000;-2.32002;;0.00100;6000.00000;0.00107;2.00000;-2.00000;20.00000;10.00000;0.00000;0.00000;3.38973;335.90859;-92.48608;0.00142;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03844;0.02981;348.40818;-15.39389;0.00000;0.00000;1.79331;
Battery name;NCR18650PF_SN002
Battery Name;NCR
Circuit;Circ006
Program;458 - Pan_5pulse_EIS_0dC
Start Time;5/22/2017 8:47:26 AM
End Time;5/30/2017 7:42:20 AM
Test section;EIS00005
Comment;0degC EIS vs SOC
OrderNo;
Producer; Panasonic
Type; NCR
Nominal Voltage; 3.7
Nominal Current; 0
Nominal Capacity; 2.9
Cells; 1
Maximum Voltage; 4.25
Gassing Voltage; 4.3
Break Voltage; 0
Charge Factor; 0
Impedance; 0
Cold Cranking Current; 15
Energy Density; 0
Comment;
Time Stamp;Step;Status;Prog Time;Step Time;Cycle;Cycle Level;Procedure;Voltage;Current;AhAccu;Energy;StartFreq;EndFreq;SetFreq;AAcMax;VAcMin;VAcMax;mvIdeal;Go;Status;U1;Zreal1;Zimg1;ActFreq;EisError;AACStart;MinIntervalTime;CountOfPeriods;UIdeal;AStart;MinDuration;MinPeriods;RemTime;VRelativ;AAmplitude;Betrag;Phase;ChamberT;ChamberSP;Temp45;
;;;;;;;;[V];[A];[Ah];[Wh];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[EIS];[ChamberT];[ChamberSP];[C1];
5/23/2017 10:09:24 AM;51;EIS;15:05:31.146;00:00:21.381;3;1;Pan_5pulse_EIS_0dC;3.79151;0.00000;-0.87000;;0.00100;6000.00000;6000.00000;2.00000;-2.00000;20.00000;10.00000;1.00000;16.00000;3.79335;23.94914;7.93365;6000.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99361;0.39384;25.22904;18.32852;0.00000;0.00000;1.89419;
5/23/2017 10:09:35 AM;51;EIS;15:05:42.027;00:00:32.262;3;1;Pan_5pulse_EIS_0dC;3.79151;0.00000;-0.87000;;0.00100;6000.00000;4499.36526;2.00000;-2.00000;20.00000;10.00000;2.00000;16.00000;3.79489;23.66240;5.80007;4571.42871;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.96431;0.39581;24.36288;13.77265;0.00000;0.00000;1.91660;
5/23/2017 10:09:45 AM;51;EIS;15:05:52.692;00:00:42.927;3;1;Pan_5pulse_EIS_0dC;3.79151;0.00000;-0.87000;;0.00100;6000.00000;3374.04795;2.00000;-2.00000;20.00000;10.00000;3.00000;16.00000;3.79217;23.53781;3.87410;3428.57153;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.97814;0.41004;23.85450;9.34655;0.00000;0.00000;1.89419;
5/23/2017 10:09:56 AM;51;EIS;15:06:03.434;00:00:53.669;3;1;Pan_5pulse_EIS_0dC;3.79151;0.00000;-0.87000;;0.00100;6000.00000;2530.17902;2.00000;-2.00000;20.00000;10.00000;4.00000;16.00000;3.79639;23.60588;2.15949;2526.31567;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.99306;0.41894;23.70445;5.22694;0.00000;0.00000;1.90540;
5/23/2017 10:10:07 AM;51;EIS;15:06:14.298;00:01:04.533;3;1;Pan_5pulse_EIS_0dC;3.79151;0.00000;-0.87000;;0.00100;6000.00000;1897.36660;2.00000;-2.00000;20.00000;10.00000;5.00000;16.00000;3.79805;23.83732;0.79259;1882.35291;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.00575;0.42169;23.85049;1.90438;0.00000;0.00000;1.90540;
5/23/2017 10:10:18 AM;51;EIS;15:06:24.993;00:01:15.228;3;1;Pan_5pulse_EIS_0dC;3.79151;0.00000;-0.87000;;0.00100;6000.00000;1422.82422;2.00000;-2.00000;20.00000;10.00000;6.00000;16.00000;3.79893;24.16855;-0.27024;1432.83582;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01318;0.41919;24.17006;-0.64062;0.00000;0.00000;1.90540;
5/23/2017 10:10:29 AM;51;EIS;15:06:35.816;00:01:26.051;3;1;Pan_5pulse_EIS_0dC;3.79151;0.00000;-0.87000;;0.00100;6000.00000;1066.96765;2.00000;-2.00000;20.00000;10.00000;7.00000;16.00000;3.78866;24.62713;-1.24204;1066.66663;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.01318;0.41367;24.65843;-2.88720;0.00000;0.00000;1.90540;
5/23/2017 10:10:40 AM;51;EIS;15:06:46.817;00:01:37.052;3;1;Pan_5pulse_EIS_0dC;3.79151;0.00000;-0.87000;;0.00100;6000.00000;800.11286;2.00000;-2.00000;20.00000;10.00000;8.00000;16.00000;3.79386;25.16769;-2.05510;800.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02393;0.40549;25.25146;-4.66819;0.00000;0.00000;2.10714;
5/23/2017 10:10:51 AM;51;EIS;15:06:57.860;00:01:48.095;3;1;Pan_5pulse_EIS_0dC;3.79216;0.00000;-0.87000;;0.00100;6000.00000;600.00000;2.00000;-2.00000;20.00000;10.00000;9.00000;16.00000;3.80213;25.78913;-2.77011;600.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02707;0.39598;25.93748;-6.13085;0.00000;0.00000;1.90540;
5/23/2017 10:11:02 AM;51;EIS;15:07:09.117;00:01:59.352;3;1;Pan_5pulse_EIS_0dC;3.79216;0.00000;-0.87000;;0.00100;6000.00000;449.93653;2.00000;-2.00000;20.00000;10.00000;10.00000;16.00000;3.78991;26.48919;-3.40645;450.70422;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02963;0.38552;26.70732;-7.32790;0.00000;0.00000;1.89419;
5/23/2017 10:11:13 AM;51;EIS;15:07:20.609;00:02:10.844;3;1;Pan_5pulse_EIS_0dC;3.79216;0.00000;-0.87000;;0.00100;6000.00000;337.40480;2.00000;-2.00000;20.00000;10.00000;11.00000;16.00000;3.79498;27.28338;-3.99643;336.84210;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03229;0.37436;27.57452;-8.33334;0.00000;0.00000;1.89419;
5/23/2017 10:11:25 AM;51;EIS;15:07:32.414;00:02:22.649;3;1;Pan_5pulse_EIS_0dC;3.79216;0.00000;-0.87000;;0.00100;6000.00000;253.01790;2.00000;-2.00000;20.00000;10.00000;12.00000;16.00000;3.79416;28.13829;-4.53112;253.29816;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03350;0.36262;28.50078;-9.14783;0.00000;0.00000;2.10714;
5/23/2017 10:11:37 AM;51;EIS;15:07:44.643;00:02:34.878;3;1;Pan_5pulse_EIS_0dC;3.79216;0.00000;-0.87000;;0.00100;6000.00000;189.73666;2.00000;-2.00000;20.00000;10.00000;13.00000;16.00000;3.79421;29.07895;-5.03494;189.72333;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03631;0.35115;29.51162;-9.82321;0.00000;0.00000;2.10714;
5/23/2017 10:11:49 AM;51;EIS;15:07:56.329;00:02:46.564;3;1;Pan_5pulse_EIS_0dC;3.79216;0.00000;-0.87000;;0.00100;6000.00000;142.28242;2.00000;-2.00000;20.00000;10.00000;14.00000;16.00000;3.78717;30.08356;-5.50963;142.43323;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03574;0.33865;30.58393;-10.37838;0.00000;0.00000;1.90540;
5/23/2017 10:12:01 AM;51;EIS;15:08:08.347;00:02:58.582;3;1;Pan_5pulse_EIS_0dC;3.79216;0.00000;-0.87000;;0.00100;6000.00000;106.69676;2.00000;-2.00000;20.00000;10.00000;15.00000;16.00000;3.79436;31.15956;-5.96464;106.66666;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03698;0.32686;31.72530;-10.83661;0.00000;0.00000;1.90540;
5/23/2017 10:12:13 AM;51;EIS;15:08:20.554;00:03:10.789;3;1;Pan_5pulse_EIS_0dC;3.79216;0.00000;-0.87000;;0.00100;6000.00000;80.01129;2.00000;-2.00000;20.00000;10.00000;16.00000;16.00000;3.78951;32.30073;-6.41725;80.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03816;0.31524;32.93202;-11.23676;0.00000;0.00000;1.89419;
5/23/2017 10:12:25 AM;51;EIS;15:08:32.378;00:03:22.613;3;1;Pan_5pulse_EIS_0dC;3.79280;0.00000;-0.87000;;0.00100;6000.00000;60.00000;2.00000;-2.00000;20.00000;10.00000;17.00000;16.00000;3.79453;33.49985;-6.88172;60.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03892;0.30378;34.19938;-11.60851;0.00000;0.00000;1.90540;
5/23/2017 10:12:37 AM;51;EIS;15:08:43.797;00:03:34.032;3;1;Pan_5pulse_EIS_0dC;3.79280;0.00000;-0.87000;;0.00100;6000.00000;44.99365;2.00000;-2.00000;20.00000;10.00000;18.00000;16.00000;3.79464;34.78674;-7.36243;44.94382;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03968;0.29239;35.55731;-11.95000;0.00000;0.00000;1.89419;
5/23/2017 10:12:48 AM;51;EIS;15:08:55.440;00:03:45.675;3;1;Pan_5pulse_EIS_0dC;3.79280;0.00000;-0.87000;;0.00100;6000.00000;33.74048;2.00000;-2.00000;20.00000;10.00000;19.00000;16.00000;3.79468;36.15272;-7.86073;33.70787;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04019;0.28115;36.99743;-12.26696;0.00000;0.00000;2.10714;
5/23/2017 10:13:00 AM;51;EIS;15:09:07.494;00:03:57.729;3;1;Pan_5pulse_EIS_0dC;3.79280;0.00000;-0.87000;;0.00100;6000.00000;25.30179;2.00000;-2.00000;20.00000;10.00000;20.00000;16.00000;3.80370;37.60141;-8.36564;25.31646;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04055;0.27013;38.52077;-12.54299;0.00000;0.00000;2.09593;
5/23/2017 10:13:12 AM;51;EIS;15:09:19.169;00:04:09.404;3;1;Pan_5pulse_EIS_0dC;3.79280;0.00000;-0.87000;;0.00100;6000.00000;18.97367;2.00000;-2.00000;20.00000;10.00000;21.00000;16.00000;3.79485;39.14873;-8.88881;18.98734;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04306;0.25982;40.14516;-12.79226;0.00000;0.00000;1.89419;
5/23/2017 10:13:24 AM;51;EIS;15:09:31.097;00:04:21.332;3;1;Pan_5pulse_EIS_0dC;3.79280;0.00000;-0.87000;;0.00100;6000.00000;14.22824;2.00000;-2.00000;20.00000;10.00000;22.00000;16.00000;3.79491;40.78148;-9.43685;14.21801;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04248;0.24905;41.85908;-13.02894;0.00000;0.00000;1.89419;
5/23/2017 10:13:35 AM;51;EIS;15:09:42.647;00:04:32.882;3;1;Pan_5pulse_EIS_0dC;3.79280;0.00000;-0.87000;;0.00100;6000.00000;10.66968;2.00000;-2.00000;20.00000;10.00000;23.00000;16.00000;3.80508;42.47844;-10.01909;10.67616;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04269;0.23891;43.64401;-13.27140;0.00000;0.00000;1.90540;
5/23/2017 10:13:47 AM;51;EIS;15:09:54.468;00:04:44.703;3;1;Pan_5pulse_EIS_0dC;3.79280;0.00000;-0.87000;;0.00100;6000.00000;8.00113;2.00000;-2.00000;20.00000;10.00000;24.00000;16.00000;3.78475;44.29404;-10.69121;8.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04438;0.22920;45.56604;-13.56987;0.00000;0.00000;1.90540;
5/23/2017 10:13:59 AM;51;EIS;15:10:06.635;00:04:56.870;3;1;Pan_5pulse_EIS_0dC;3.79344;0.00000;-0.87000;;0.00100;6000.00000;6.00000;2.00000;-2.00000;20.00000;10.00000;25.00000;16.00000;3.79516;46.22320;-11.43868;6.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04461;0.21938;47.61751;-13.89953;0.00000;0.00000;2.10714;
5/23/2017 10:14:11 AM;51;EIS;15:10:18.254;00:05:08.489;3;1;Pan_5pulse_EIS_0dC;3.79344;0.00000;-0.87000;;0.00100;6000.00000;4.49937;2.00000;-2.00000;20.00000;10.00000;26.00000;16.00000;3.79519;48.39614;-12.26690;4.50450;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04877;0.21006;49.92658;-14.22313;0.00000;0.00000;1.90540;
5/23/2017 10:14:23 AM;51;EIS;15:10:30.402;00:05:20.637;3;1;Pan_5pulse_EIS_0dC;3.79344;0.00000;-0.87000;;0.00100;6000.00000;3.37405;2.00000;-2.00000;20.00000;10.00000;27.00000;16.00000;3.79528;50.93565;-13.09371;3.37079;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.05341;0.20030;52.59169;-14.41652;0.00000;0.00000;1.89419;
5/23/2017 10:14:35 AM;51;EIS;15:10:41.875;00:05:32.110;3;1;Pan_5pulse_EIS_0dC;3.79344;0.00000;-0.87000;;0.00100;6000.00000;2.53018;2.00000;-2.00000;20.00000;10.00000;28.00000;16.00000;3.79535;53.79887;-13.72943;2.53378;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.05569;0.19013;55.52311;-14.31627;0.00000;0.00000;2.09593;
